점포명,주소,좌표,연락처,판매품목,후기,대표사진,자치구,시장,,,,개별 운영 사이트,URL,비고
소담떡집,서울 동작구 동작대로29길 24 정현빌딩,"37.4881363,126.9785053",02-599-6044,,?,X,동작구,남성사계시장,,,,http://smartstore.naver.com/kd_market,https://shopping.naver.com/market/traditionalmarket?storeId=100840011,성북구
뚱땡이족발,서울 동작구 동작대로29나길 9,"37.4884438,126.9782362",0507-1436-6606,{[동작구 배달] 편육 400g [남성사계 뚱땡이족발]},?,,동작구,남성사계시장,,,,https://blog.naver.com/geunrinsijang,https://shopping.naver.com/market/traditionalmarket?storeId=100840017,구로구
삼정유통,서울 동작구 동작대로29가길 26,"37.4890646,126.9794931",X,,?,,동작구,남성사계시장,,,,http://keumnammarket.com/,https://shopping.naver.com/market/traditionalmarket?storeId=100840024,성동구
오향한방족발개성,서울 동작구 동작대로29가길 26,"37.4890646,126.9794931",02-535-3233,,?,,동작구,남성사계시장,,,,www.nssagye.com,https://shopping.naver.com/market/traditionalmarket?storeId=100938154,동작구
전주반찬,서울 동작구 동작대로29길 33,"37.4904173,126.9772811",X,,?,,동작구,남성사계시장,,,,https://blog.naver.com/daerimmk,https://shopping.naver.com/market/traditionalmarket?storeId=100840031,영등포구
청학동즉석두부,서울 동작구 동작대로29길 32,"37.4882121,126.9781228",02-593-5441,,?,,동작구,남성사계시장,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840035,강남구
명성왕족발,서울 동작구 사당동 130-8,"37.4880042,126.9789805",02-532-4387,,?,,동작구,남성사계시장,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840048,성북구
김치백화점,서울 동작구 동작대로29나길 10,"37.4884015,126.978455",02-3476-5329,"{[동작구 배달] 맛깔나게 절인 겉절이 1kg [남성사계 김치백화점], [동작구 배달] 입맛되찾는 홍어무침 1kg [남성사계 김치백화점]}",?,X,동작구,남성사계시장,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840055,중랑구
해돋이청과,서울 동작구 동작대로29길 24 정현빌딩,"37.4881363,126.9785053",02-533-5870,,?,,동작구,남성사계시장,,,,https://mangwonsijang.modoo.at,https://shopping.naver.com/market/traditionalmarket?storeId=100840059,마포구
부산어묵장돌이,서울 동작구 동작대로29길 29,"37.4879567,126.9781829",0507-1428-0715,,?,,동작구,남성사계시장,,,,http://bhdokkaebi.modoo.at/,https://shopping.naver.com/market/traditionalmarket?storeId=100840069,도봉구
부흥축산,서울 동작구 동작대로29길 34,"37.488225,126.9779474",X,,?,,동작구,남성사계시장,,,,https://blog.naver.com/nm_mk,https://shopping.naver.com/market/traditionalmarket?storeId=100840074,금천구
진그늘청과,서울 동작구 동작대로29길 40,"37.4883582,126.9777172",0507-1424-5010,,?,,동작구,남성사계시장,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100859292,관악구
이수홍어,서울 동작구 동작대로29나길 19,"37.4888767,126.9782891",02-599-6862,,?,,동작구,남성사계시장,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100939541,관악구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840113,송파구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840005,송파구
,,,,,,,,,,,,https://www.seongdaetm.com/,https://shopping.naver.com/market/traditionalmarket?storeId=100840009,동작구
,,,,,,,,,,,,http://www.songhwasijang.com/,https://shopping.naver.com/market/traditionalmarket?storeId=100840013,강서구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100839993,강북구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840018,양천구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100942860,관악구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840072,도봉구
,,,,,,,,,,,,http://www.amsamarket.com/,https://shopping.naver.com/market/traditionalmarket?storeId=100839984,강동구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840023,은평구
,,,,,,,,,,,,www.yongmunsijang.kr,https://shopping.naver.com/market/traditionalmarket?storeId=100840028,용산구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840033,중랑구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840037,강북구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840044,광진구
,,,,,,,,,,,,http://tonginmarket.modoo.at/,https://shopping.naver.com/market/traditionalmarket?storeId=100840049,종로구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840052,서대문구
,,,,,,,,,,,,http://hwagokmarket.com,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%ED%99%94%EA%B3%A1+%EB%B3%B8%EB%8F%99+%EC%8B%9C%EC%9E%A5&oquery=%EC%95%94%EC%82%AC%EC%A2%85%ED%95%A9%EC%8B%9C%EC%9E%A5&tqi=UJPdnsp0JXossPVJlehssssstXN-108312,강서구
,,,,,,,,,,,,,https://shopping.naver.com/market/traditionalmarket?storeId=100840064,광진구
